"_EMAIL_POKE_USER_EMAIL_TITLE";"Poke"
"_EMAIL_POKE_USER_EMAIL_DESCRIPTION";"This is the email that goes to a member when they are poked by another member."
"_EMAIL_POKE_USER_EMAIL_SUBJECT";"[sender_title] has poked you on [site_title]."
"_EMAIL_POKE_USER_EMAIL_BODY";"[header]

[sender_title] poked you on [date].
To hide the poke or poke back, follow the link below:

http://[host][object_link]

[footer]"


"ACTIVITY_TYPE_POKE";"When someone pokes me."
"ADMIN_ACTIVITY_TYPE_POKE";"When a member pokes someone."
"_ACTIVITY_ACTIONTYPE_POKE";"When I poke someone."


"Pokes Plugin";"Pokes Plugin"
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Email Notifications";"Email Notifications"
"Do you want email notifications to be sent to users who are poked?";"Do you want email notifications to be sent to users who are poked?"
"Activity Feed";"Activity Feed"
"Do you want Pokes to be shown on the poked user's Activity Feed?";"Do you want Pokes to be shown on the poked user's Activity Feed?"
"Updates";"Updates"
"Do you want notification updates to be created for users when they are poked?";"Do you want notification updates to be created for users when they are poked?"
"Title Truncation Limit";"Title Truncation Limit"
"What limit should be applied to the number of characters in the titles of items in the widgets? (Complete titles will be shown on mouseover.)";"What limit should be applied to the number of characters in the titles of items in the widgets? (Complete titles will be shown on mouseover.)"
"Title *  Please complete this field - it is required.";"Title *  Please complete this field - it is required."
"Save Changes";"Save Changes"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )"
"Poke Options";"Poke Options"
"%s pokes found";"%s pokes found"
"Status";"Status"


"Member Level Settings";"Member Level Settings"
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Member Level";"Member Level"
"Allow Poking";"Allow Poking"
"Do you want to allow members of this member level to poke others?";"Do you want to allow members of this member level to poke others?"
"Who should the members of this member level be allowed to poke?";"Who should the members of this member level be allowed to poke?"
"Friends and Friends of Friends";"Friends and Friends of Friends"
"All Registered Members";"All Registered Members"
"Friends and Networks";"Friends and Networks"
"Friends and Friends of Friends";"Friends and Friends of Friends"
"Friends Only";"Friends Only"
"Save Settings";"Save Settings"
"Delete Poke?";"Delete Poke?"
"Are you sure that you want to delete this poke entry? It will not be recoverable after being deleted.";"Are you sure that you want to delete this poke entry? It will not be recoverable after being deleted."
"Delete";"Delete"
"cancel";"cancel"
" or ";" or "
"Delete the selected pokes?";"Delete the selected pokes?"
"Are you sure that you want to delete the %d pokes? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d pokes? It will not be recoverable after being deleted."
"Please select a poke to delete.";"Please select a poke to delete."
"Delete Selected";"Delete Selected"
"Go Back";"Go Back"
"Poke Back";"Poke Back"
"ignore request";"ignore request"
"Do not show this poke";"Do not show this poke"
"Yes";"Yes"
"No";"No"
"Options";"Options"
"ID";"ID"
"View Pokes";"View Pokes"
"This page lists all the pokings done between members.";"This page lists all the pokings done between members."
"Who Poked";"Who Poked"
"Who was Poked";"Who was Poked"
"Status";"Status"
"Select";"Select"
"Search";"Search"
"No pokes have been done by your members yet.";"No pokes have been done by your members yet."
"No poke entries were found matching the search criteria.";"No poke entries were found matching the search criteria."
"Not hidden by users";"Not hidden by users"
"Hidden by users";"Hidden by users"
"Shown";"Shown"
"Hidden";"Hidden"
"Poking Date";"Poking Date"
"Pokes";"Pokes"
"Displays the pokes received by members. Members can poke back from here, or remove pokes.";"Displays the pokes received by members. Members can poke back from here, or remove pokes."
"Poke";"Poke"
"Pokes";"Pokes"

"You have successfully poked %s.";"You have successfully poked %s."



"Poke %s";"Poke %s"
"Poke %s?";"Poke %s?"
"<div>%s You are about to poke %s.</div><div style='color: grey;'> %s will be informed of this on homepage.</div>";"<div>%s You are about to poke %s.</div><div style='color: grey;'> %s will be informed of this on homepage.</div>"
"<div class='global_form'><div><div><h3>Alert</h3>";"<div class='global_form'><div><div><h3>Alert</h3>"
