# Global Language Defined.

"sitead";"sitead"

# main menu
"Advertising";"Advertising"
"Ad Board";"Ad Board"
"My Campaigns";"My Campaigns"
"Create an Ad";"Create an Ad"
"Reports";"Reports"
"Help & Learn More";"Help & Learn More"

# ad board

"You have removed this ad. Why didn't you like it?";"You have removed this ad. Why didn't you like it?"
"Misleading";"Misleading"
"Offensive";"Offensive"
"Inappropriate";"Inappropriate"
"Licensed Material";"Licensed Material"
"Other";"Other"
"Specify your reason here..";"Specify your reason here.."
"Report";"Report"
"Report this ad";"Report this ad"
"Do you want to report this? Why didn't you like it?";"Do you want to report this? Why didn't you like it?"
"Cancel reporting this ad";"Cancel reporting this ad"
"You like this.";"You like this."
"%s person likes this.";"%s person likes this.";"%s people like this."
"%s other likes this.";"%s other likes this.";"%s others like this."
"You and %s";"You and %s"
"Unlike";"Unlike"
"Like";"Like"
"No advertisements have been created yet.";"No advertisements have been created yet."
" Be the first to %1$screate an ad%2$s.";" Be the first to %1$screate an ad%2$s."
"Thanks for your feedback. Your report has been submitted.";"Thanks for your feedback. Your report has been submitted."
"Join Group";"Join Group"
"Join Event";"Join Event"
"Listen to Music";"Listen to Music"
"Vote on Poll";"Vote on Poll"
"View Forum Topic";"View Forum Topic"
"View Group";"View Group"
"View Event";"View Event"
"View ";"View "

# create ad page

"Advertise on ";"Advertise on "
"Design Your Ad FAQ";"Design Your Ad FAQ"
"Design Your Ad";"Design Your Ad"
"Choose a different package";"Choose a different package"
"Preview Your Ad";"Preview Your Ad"
"Ad title linked to the ad destination URL.";"Ad title linked to the ad destination URL."
"Ad image linked to the ad destination URL.";"Ad image linked to the ad destination URL."
"Ad body text linked to the ad destination URL.";"Ad body text linked to the ad destination URL."
"Viewers will be able to Like this content inline on-the-spot. When viewers Like this, it will be similar to a viral promotion of your content as this Sponsored Story of your content will then also be viewable to the viewer’s friends.";"Viewers will be able to Like this content inline on-the-spot. When viewers Like this, it will be similar to a viral promotion of your content as this Sponsored Story of your content will then also be viewable to the viewer’s friends."
"Ad Package";"Ad Package"
"Select Campaign";"Select Campaign"
"This is only for your indicative purpose and not visible to viewers.";"This is only for your indicative purpose and not visible to viewers."
"Create a New Campaign";"Create a New Campaign"
"Your URL";"Your URL"
"Copy an existing ad";"Copy an existing ad"
"Example Ad Title";"Example Ad Title"
"Example ad body text.";"Example ad body text."
"Example: http://www.yourwebsite.com/";"Example: http://www.yourwebsite.com/"
"I want to advertise something I have on ";"I want to advertise something I have on "
"Select the type of content you want to advertise.";"Select the type of content you want to advertise."
"Please enter a valid email address.";"Please enter a valid email address."
"I want to create my custom ad.";"I want to create my custom ad."
"Select the type of content you want to advertise.";"Select the type of content you want to advertise."
"Content Type";"Content Type"
"Select Content";"Select Content"


"Ad Title";"Ad Title"
"Ad Body Text";"Ad Body Text"
"Ad Image";"Ad Image"
"Remove uploaded image.";"Remove uploaded image."
"Browse and choose an image for your ad. Max file size allowed : ";"Browse and choose an image for your ad. Max file size allowed : "
"Continue";"Continue"
" MB. File types applowed: jpg, jpeg, png, gif.";" MB. File types applowed: jpg, jpeg, png, gif."
" characters left.";" characters left."
"-- Select --";"-- Select --"
"Run my ad continuously from starting date till it expires.";"Run my ad continuously from starting date till it expires."
"Targeting";"Targeting"
"Scheduling";"Scheduling"
"and Scheduling";"and Scheduling"
"Ad Targeting FAQ";"Ad Targeting FAQ"
"Please checkup your ad for accuracy before placing your order.";"Please checkup your ad for accuracy before placing your order."
"Ad Preview:";"Ad Preview:"
"Please enter a valid web page URL for users to visit when clicking on your ad.";"Please enter a valid web page URL for users to visit when clicking on your ad."
"Please enter a campaign name.";"Please enter a campaign name."
"Destination URL must be a valid web page.";"Destination URL must be a valid web page."
"Please enter a title for your ad.";"Please enter a title for your ad."
"Please enter a body for your ad.";"Please enter a body for your ad."
"Please choose an image for your ad.";"Please choose an image for your ad."
"People with their birthday on current date will be targeted.";"People with their birthday on current date will be targeted."
"Review Your Ad";"Review Your Ad"
"Create Ad";"Create Ad"
"Edit Your Ad";"Edit Your Ad"
"Help Center";"Help Center"
"End Date not selected.";"End Date not selected."
"Target people having their birthday on current date.";"Target people having their birthday on current date."
"Select a date";"Select a date"
"Separate multiple entries with commas.";"Separate multiple entries with commas."
"Uploading image...";"Uploading image..."
"This ad will run continuously from starting date till it expires.";"This ad will run continuously from starting date till it expires."
"Please check your ad for accuracy before placing your order.";"Please check your ad for accuracy before placing your order."
"Price:";"Price:"
"Quantity:";"Quantity:"
"Cancel";"Cancel"
"Note: Below Profile Types will show in the Advanced Targeting Options. If you want to allow the targeting according to profile types and their generic profile fields then you need to select below targeting fields according as mentioned with profile types. Ad creator will only able to select only 1 profile type at a time in the ad creation step. If Ad creator is not selecting any profile types then ad will show all the site members using other targeting options.<br />Please note that Integer, Float, Date, Heading generic profile fields do not use for targeting.";"Note: Below Profile Types will show in the Advanced Targeting Options. If you want to allow the targeting according to profile types and their generic profile fields then you need to select below targeting fields according as mentioned with profile types. Ad creator will only able to select only 1 profile type at a time in the ad creation step. If Ad creator is not selecting any profile types then ad will show all the site members using other targeting options.<br />Please note that Integer, Float, Date, Heading generic profile fields do not use for targeting."
"If you want to do targeting according to profile type please select below a profile type, if you do not want to do targeting for a profile type then you need to select ""All"".";"If you want to do targeting according to profile type please select below a profile type, if you do not want to do targeting for a profile type then you need to select ""All""."
"Advanced Targeting Options";"Advanced Targeting Options"


# package list page

"Advertising Packages";"Advertising Packages"
"Package Details";"Package Details"
"Name";"Name"
"Price";"Price"
"Quantity";"Quantity"
"Sponsored";"Sponsored"
"Featured";"Featured"
"You can advertise";"You can advertise"
"There are no packages yet.";"There are no packages yet."
"1. Choose an Ad Package";"1. Choose an Ad Package"
